n,log_q,q,sigma,log_N,N,m,delta,log_delta,p,log2_p,security_bits,passes_128bit
512,32,4294967296,100.00,38,274877906944,524288,9.094947e-13,-40,N/A,N/A,81.3,NO
768,32,4294967296,100.00,38,274877906944,524288,9.094947e-13,-40,N/A,N/A,121.3,NO
1024,32,4294967296,10.67,38,274877906944,524288,9.094947e-13,-40,271,8.1,128.0,YES
1280,32,4294967296,1.10,38,274877906944,524288,9.094947e-13,-40,847,9.7,129.3,YES
1536,32,4294967296,1.10,38,274877906944,524288,9.094947e-13,-40,847,9.7,156.5,YES
2048,32,4294967296,1.10,38,274877906944,524288,9.094947e-13,-40,847,9.7,212.8,YES
1024,64,18446744073709551616,10839844.64,38,274877906944,524288,9.094947e-13,-40,17656,14.1,128.1,YES
1226,64,18446744073709551616,781250.99,38,274877906944,524288,9.094947e-13,-40,65767,16.0,128.6,YES
1500,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,139.0,YES
1750,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,164.2,YES
2048,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,195.4,YES
2250,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,217.0,YES
2500,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,244.4,YES
2750,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,272.3,YES
3072,64,18446744073709551616,97657.25,38,274877906944,524288,9.094947e-13,-40,186018,17.5,309.0,YES
